Site_ID,year
01-073-0023,2001
01-073-0023,2002
01-073-0023,2003
01-073-0023,2004
01-073-0023,2005
01-073-0023,2006
01-073-0023,2007
01-073-1009,2002
01-073-1009,2003
01-073-1009,2004
01-073-1009,2005
01-073-1009,2006
01-073-2003,2002
01-073-2003,2003
01-073-2003,2004
01-073-2003,2005
01-073-2003,2006
01-073-2003,2007
01-073-2003,2008
01-079-0002,2000
01-079-0002,2001
01-079-0002,2002
01-079-0002,2003
01-079-0002,2004
01-079-0002,2005
01-079-0002,2006
01-079-0002,2007
01-079-0002,2008
01-079-9000,2000
01-079-9000,2001
01-079-9000,2002
01-079-9000,2003
01-079-9000,2004
01-079-9000,2005
01-079-9000,2006
01-079-9000,2007
01-079-9000,2008
01-089-0014,2004
01-089-0014,2005
01-089-0014,2006
01-089-0014,2007
01-089-0014,2008
01-097-0003,2003
01-097-0003,2004
01-097-0003,2005
01-097-0003,2006
01-101-1002,2003
01-101-1002,2004
01-101-1002,2005
01-101-1002,2006
01-101-1002,2007
01-101-1002,2008
01-103-0011,2003
01-103-0011,2004
01-103-0011,2005
04-001-8001,2001
04-001-8001,2002
04-001-8001,2003
04-001-8001,2004
04-001-8001,2005
04-001-8001,2006
04-001-8001,2007
04-001-8001,2008
04-003-9000,2005
04-003-9000,2006
04-003-9000,2007
04-003-9000,2008
04-005-8100,2001
04-005-8100,2002
04-005-8100,2004
04-005-8100,2008
04-005-8103,2001
04-005-8103,2002
04-005-8103,2003
04-005-8103,2004
04-005-8103,2005
04-005-8103,2006
04-005-8103,2007
04-005-8103,2008
04-007-0010,2001
04-007-0010,2002
04-007-0010,2003
04-007-0010,2004
04-007-0010,2005
04-007-0010,2006
04-007-0010,2007
04-007-0010,2008
04-007-8100,2001
04-007-8100,2002
04-007-8100,2003
04-007-8100,2004
04-007-8100,2005
04-007-8100,2006
04-007-8100,2007
04-007-8100,2008
04-013-9997,2001
04-013-9997,2002
04-013-9997,2003
04-013-9997,2004
04-013-9997,2005
04-013-9997,2006
04-013-9997,2007
04-013-9997,2008
04-019-0005,2003
04-019-0005,2004
04-019-0005,2005
04-019-0005,2006
04-019-0005,2007
04-019-0005,2008
04-019-0021,2002
04-019-0021,2003
04-019-0021,2004
04-019-0021,2005
04-019-0021,2006
04-019-0021,2007
04-019-0021,2008
04-019-1028,2003
04-019-1028,2004
04-019-1028,2005
04-019-1028,2006
04-019-1028,2007
04-019-1028,2008
04-019-9000,2002
04-019-9000,2003
04-019-9000,2004
04-019-9000,2005
04-019-9000,2006
04-019-9000,2007
04-019-9000,2008
04-021-8001,2002
04-021-8001,2003
04-021-8001,2004
04-021-8001,2005
04-021-8001,2006
04-021-8001,2007
04-021-8001,2008
05-101-9000,2000
05-101-9000,2001
05-101-9000,2002
05-101-9000,2003
05-101-9000,2004
05-101-9000,2005
05-101-9000,2006
05-101-9000,2007
05-101-9000,2008
05-113-0003,2001
05-113-0003,2002
05-113-0003,2003
05-113-0003,2004
05-113-0003,2005
05-113-0003,2006
05-113-0003,2007
05-113-0003,2008
05-119-0007,2003
05-119-0007,2004
05-119-0007,2005
05-119-0007,2006
05-119-0007,2007
05-119-0007,2008
06-015-0002,2000
06-015-0002,2001
06-015-0002,2002
06-015-0002,2003
06-015-0002,2004
06-015-0002,2005
06-015-0002,2006
06-015-0002,2007
06-015-0002,2008
06-017-9000,2000
06-017-9000,2001
06-017-9000,2002
06-017-9000,2003
06-017-9000,2004
06-017-9000,2005
06-017-9000,2006
06-017-9000,2007
06-017-9000,2008
06-019-0008,2001
06-019-0008,2002
06-019-0008,2003
06-019-0008,2004
06-019-0008,2005
06-019-0008,2006
06-019-0008,2007
06-019-0008,2008
06-019-9000,2002
06-019-9000,2003
06-019-9000,2004
06-019-9000,2005
06-019-9000,2006
06-019-9000,2007
06-019-9000,2008
06-029-0014,2002
06-029-0014,2003
06-029-0014,2004
06-029-0014,2005
06-029-0014,2006
06-029-0014,2007
06-029-9002,2001
06-029-9002,2002
06-029-9002,2003
06-029-9002,2004
06-037-1103,2003
06-037-1103,2004
06-037-1103,2005
06-037-1103,2006
06-037-1103,2007
06-037-9034,2002
06-037-9034,2003
06-037-9034,2004
06-037-9034,2005
06-037-9034,2006
06-037-9034,2007
06-037-9034,2008
06-041-0002,2000
06-041-0002,2001
06-041-0002,2002
06-041-0002,2003
06-041-0002,2004
06-041-0002,2005
06-041-0002,2006
06-041-0002,2007
06-041-0002,2008
06-043-0003,2000
06-043-0003,2001
06-043-0003,2002
06-043-0003,2003
06-043-0003,2004
06-043-0003,2005
06-043-0003,2006
06-043-0003,2007
06-043-0003,2008
06-051-9000,2002
06-051-9000,2003
06-051-9000,2004
06-051-9000,2006
06-051-9000,2007
06-051-9000,2008
06-065-8001,2002
06-065-8001,2003
06-065-8001,2004
06-065-8001,2005
06-065-8001,2006
06-065-8001,2007
06-065-9000,2001
06-065-9000,2002
06-065-9000,2003
06-065-9000,2004
06-065-9000,2005
06-065-9000,2006
06-065-9000,2007
06-065-9000,2008
06-067-0006,2001
06-067-0006,2002
06-067-0006,2003
06-067-0006,2004
06-067-0006,2005
06-067-0006,2006
06-067-0006,2007
06-067-0006,2008
06-069-0003,2000
06-069-0003,2001
06-069-0003,2002
06-069-0003,2003
06-069-0003,2004
06-069-0003,2005
06-069-0003,2006
06-069-0003,2007
06-069-0003,2008
06-071-9002,2001
06-071-9002,2002
06-071-9002,2003
06-071-9002,2004
06-071-9002,2005
06-071-9002,2006
06-071-9002,2007
06-071-9002,2008
06-071-9010,2001
